Info 0    [22:58:00.749] Starting TS Server
Info 95   [22:59:34.108] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false structureIsReused:: Completely Elapsed: 4.759481001645327ms
Info 96   [22:59:34.108] Different program with same set of files
Info 97   [22:59:35.058] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 98   [22:59:35.065] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false structureIsReused:: Completely Elapsed: 7.5838139988482ms
Info 99   [22:59:35.066] Different program with same set of files
Info 100  [22:59:35.467] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 101  [22:59:35.471] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false structureIsReused:: Completely Elapsed: 3.9283579997718334ms
Info 102  [22:59:35.471] Different program with same set of files
Info 103  [22:59:35.800] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 104  [22:59:35.807] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false structureIsReused:: Completely Elapsed: 6.425939999520779ms
Info 105  [22:59:35.807] Different program with same set of files
Info 106  [22:59:35.809] getCompletionData: Get current token: 0.011785998940467834
Info 107  [22:59:35.809] getCompletionData: Is inside comment: 0.03463900089263916
Info 108  [22:59:35.809] getCompletionData: Get previous token: 0.06265899911522865
Info 109  [22:59:35.810] getCompletionsAtPosition: isCompletionListBlocker: 0.5224540010094643
Info 110  [22:59:35.827] getExportInfoMap: cache miss or empty; calculating new results
Info 111  [22:59:35.897] getExportInfoMap: done in 71.54740399867296 ms
Info 112  [22:59:35.910] collectAutoImports: resolved 0 module specifiers, plus 27 ambient and 1 from cache
Info 113  [22:59:35.910] collectAutoImports: response is incomplete
Info 114  [22:59:35.910] collectAutoImports: 12.043685998767614
Info 115  [22:59:35.910] getCompletionData: Semantic work: 99.54525200277567
Info 116  [22:59:35.940] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 29.723867002874613
Info 117  [22:59:35.948] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 118  [22:59:35.957] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false structureIsReused:: Completely Elapsed: 8.160446997731924ms
Info 119  [22:59:35.957] Different program with same set of files
Info 120  [22:59:35.957] getCompletionData: Get current token: 0.0034109987318515778
Info 121  [22:59:35.957] getCompletionData: Is inside comment: 0.014038000255823135
Info 122  [22:59:35.957] getCompletionData: Get previous token: 0.03910600021481514
Info 123  [22:59:35.957] getCompletionsAtPosition: isCompletionListBlocker: 0.01822599768638611
Info 124  [22:59:35.960] getExportInfoMap: cache hit
Info 125  [22:59:35.982] collectAutoImports: resolved 0 module specifiers, plus 16 ambient and 1 from cache
Info 126  [22:59:35.982] collectAutoImports: response is incomplete
Info 127  [22:59:35.982] collectAutoImports: 22.316097002476454
Info 128  [22:59:35.982] getCompletionData: Semantic work: 25.08635700121522
Info 129  [22:59:36.000] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 15.670415002852678
Info 130  [22:59:36.161] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 131  [22:59:36.165] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false structureIsReused:: Completely Elapsed: 3.903904002159834ms
Info 132  [22:59:36.165] Different program with same set of files
Info 133  [22:59:36.165] getCompletionData: Get current token: 0.003267001360654831
Info 134  [22:59:36.165] getCompletionData: Is inside comment: 0.016272999346256256
Info 135  [22:59:36.165] getCompletionData: Get previous token: 0.014777999371290207
Info 136  [22:59:36.166] getCompletionsAtPosition: isCompletionListBlocker: 0.003342997282743454
Info 137  [22:59:36.185] getCompletionData: Semantic work: 19.423261001706123
Info 138  [22:59:36.186] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.317561998963356
Info 139  [22:59:36.454] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 140  [22:59:36.459] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false structureIsReused:: Completely Elapsed: 5.170407000929117ms
Info 141  [22:59:36.459] Different program with same set of files
Info 142  [22:59:36.460] getCompletionData: Get current token: 0.0033139996230602264
Info 143  [22:59:36.460] getCompletionData: Is inside comment: 0.01646299660205841
Info 144  [22:59:36.460] getCompletionData: Get previous token: 0.02728699892759323
Info 145  [22:59:36.460] getCompletionsAtPosition: isCompletionListBlocker: 0.00339299812912941
Info 146  [22:59:36.469] getCompletionData: Semantic work: 9.020702000707388
Info 147  [22:59:36.469] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.5043650008738041
Info 148  [22:59:36.725] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 149  [22:59:36.731] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false structureIsReused:: Completely Elapsed: 6.360799998044968ms
Info 150  [22:59:36.731] Different program with same set of files
Info 151  [23:00:02.930] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 152  [23:00:02.943] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false structureIsReused:: Completely Elapsed: 13.236099999397993ms
Info 153  [23:00:02.943] Different program with same set of files
Info 154  [23:00:03.156] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 155  [23:00:03.164] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false structureIsReused:: Completely Elapsed: 8.653577998280525ms
Info 156  [23:00:03.164] Different program with same set of files
Info 157  [23:00:04.190] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 158  [23:00:04.201] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false structureIsReused:: Completely Elapsed: 11.501010000705719ms
Info 159  [23:00:04.201] Different program with same set of files
Info 160  [23:00:08.323] Format host information updated
Info 161  [23:00:08.524] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 162  [23:00:08.534] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false structureIsReused:: Completely Elapsed: 10.031789001077414ms
Info 163  [23:00:08.534] Different program with same set of files
Info 164  [23:00:15.294] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 165  [23:00:15.300] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false structureIsReused:: Completely Elapsed: 5.783833000808954ms
Info 166  [23:00:15.300] Different program with same set of files
Info 167  [23:00:15.905] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 168  [23:00:15.918] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false structureIsReused:: Completely Elapsed: 12.707566000521183ms
Info 169  [23:00:15.918] Different program with same set of files
Info 170  [23:00:15.992] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 171  [23:00:15.997] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false structureIsReused:: Completely Elapsed: 5.59901800006628ms
Info 172  [23:00:15.998] Different program with same set of files
Info 173  [23:00:16.021] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 174  [23:00:16.029] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: false structureIsReused:: Completely Elapsed: 7.383039001375437ms
Info 175  [23:00:16.029] Different program with same set of files
Info 176  [23:00:17.035] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 177  [23:00:17.041] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 36 structureChanged: false structureIsReused:: Completely Elapsed: 5.852480001747608ms
Info 178  [23:00:17.041] Different program with same set of files
Info 179  [23:00:17.770] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 180  [23:00:17.778] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 37 structureChanged: false structureIsReused:: Completely Elapsed: 7.751392997801304ms
Info 181  [23:00:17.778] Different program with same set of files
Info 182  [23:00:18.079] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 183  [23:00:18.083] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 38 structureChanged: false structureIsReused:: Completely Elapsed: 4.3617919981479645ms
Info 184  [23:00:18.083] Different program with same set of files
Info 185  [23:00:18.243] Format host information updated
Info 186  [23:01:42.123] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 187  [23:01:42.132] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 39 structureChanged: false structureIsReused:: Completely Elapsed: 9.041467998176813ms
Info 188  [23:01:42.132] Different program with same set of files
Info 189  [23:01:42.411] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 190  [23:01:42.426] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 40 structureChanged: true structureIsReused:: SafeModules Elapsed: 14.78396500274539ms
Info 191  [23:01:42.426] Different program with same set of files
Info 192  [23:01:43.892] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 193  [23:01:43.905] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 41 structureChanged: true structureIsReused:: SafeModules Elapsed: 12.888429000973701ms
Info 194  [23:01:43.905] Different program with same set of files
Info 195  [23:01:44.555] Format host information updated
Info 196  [23:02:25.798] DirectoryWatcher:: Triggered with /home/wzrdd/Semestre/TIC/proyecto/virtual-port/node_modules :: WatchInfo: /home/wzrdd/Semestre/TIC/proyecto/virtual-port/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 197  [23:02:25.798] Elapsed:: 0.1679069995880127ms DirectoryWatcher:: Triggered with /home/wzrdd/Semestre/TIC/proyecto/virtual-port/node_modules :: WatchInfo: /home/wzrdd/Semestre/TIC/proyecto/virtual-port/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 198  [23:02:27.050] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 199  [23:02:27.199] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 42 structureChanged: true structureIsReused:: SafeModules Elapsed: 149.44964700192213ms
Info 200  [23:02:27.199] Project '/dev/null/inferredProject1*' (Inferred)
Info 201  [23:02:27.199] 	Files (120)

Info 202  [23:02:27.199] -----------------------------------------------
Info 203  [23:02:27.566] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 204  [23:02:27.592] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 43 structureChanged: true structureIsReused:: Not Elapsed: 25.851850997656584ms
Info 205  [23:02:27.592] Project '/dev/null/inferredProject1*' (Inferred)
Info 206  [23:02:27.592] 	Files (122)

Info 207  [23:02:27.592] -----------------------------------------------
Info 208  [23:02:29.815] Before ensureProjectForOpenFiles:
Info 209  [23:02:29.816] After ensureProjectForOpenFiles:
Info 210  [23:02:29.816] got projects updated in background, updating diagnostics for /home/wzrdd/Semestre/TIC/proyecto/virtual-port/index.js
Info 211  [23:03:19.114] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 212  [23:03:19.121] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 44 structureChanged: false structureIsReused:: Completely Elapsed: 6.843646001070738ms
Info 213  [23:03:19.121] Different program with same set of files
Info 214  [23:03:20.062] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 215  [23:03:20.071] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 45 structureChanged: false structureIsReused:: Completely Elapsed: 9.020422998815775ms
Info 216  [23:03:20.071] Different program with same set of files
Info 217  [23:03:20.078] getCompletionData: Get current token: 0.05993199720978737
Info 218  [23:03:20.078] getCompletionData: Is inside comment: 0.0511309988796711
Info 219  [23:03:20.079] getCompletionData: Get previous token: 0.09827699884772301
Info 220  [23:03:20.082] getCompletionsAtPosition: isCompletionListBlocker: 1.6642160005867481
Info 221  [23:03:20.095] getExportInfoMap: cache miss or empty; calculating new results
Info 222  [23:03:20.164] getExportInfoMap: done in 70.55824099853635 ms
Info 223  [23:03:20.184] collectAutoImports: resolved 0 module specifiers, plus 1 ambient and 0 from cache
Info 224  [23:03:20.184] collectAutoImports: response is complete
Info 225  [23:03:20.184] collectAutoImports: 19.060334999114275
Info 226  [23:03:20.184] getCompletionData: Semantic work: 98.22444600239396
Info 227  [23:03:20.206] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 21.11598800122738
Info 228  [23:03:20.986] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 229  [23:03:20.997] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 46 structureChanged: false structureIsReused:: Completely Elapsed: 10.515518996864557ms
Info 230  [23:03:20.997] Different program with same set of files
Info 231  [23:03:21.482] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 232  [23:03:21.498] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 47 structureChanged: false structureIsReused:: Completely Elapsed: 15.798224002122879ms
Info 233  [23:03:21.498] Different program with same set of files
Info 234  [23:03:24.259] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 235  [23:03:24.270] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 48 structureChanged: false structureIsReused:: Completely Elapsed: 10.833337999880314ms
Info 236  [23:03:24.270] Different program with same set of files
Info 237  [23:03:25.487] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 238  [23:03:25.496] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 49 structureChanged: false structureIsReused:: Completely Elapsed: 9.157160997390747ms
Info 239  [23:03:25.496] Different program with same set of files
Info 240  [23:03:26.330] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 241  [23:03:26.335] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 50 structureChanged: false structureIsReused:: Completely Elapsed: 4.694875001907349ms
Info 242  [23:03:26.335] Different program with same set of files
Info 243  [23:03:27.178] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 244  [23:03:27.183] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 51 structureChanged: false structureIsReused:: Completely Elapsed: 4.293526001274586ms
Info 245  [23:03:27.183] Different program with same set of files
Info 246  [23:03:28.972] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 247  [23:03:28.979] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 52 structureChanged: false structureIsReused:: Completely Elapsed: 6.6967179998755455ms
Info 248  [23:03:28.979] Different program with same set of files
Info 249  [23:03:29.325] Format host information updated
Info 250  [23:04:16.991] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 251  [23:04:16.998] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 53 structureChanged: false structureIsReused:: Completely Elapsed: 6.772394999861717ms
Info 252  [23:04:16.998] Different program with same set of files
Info 253  [23:04:17.195] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 254  [23:04:17.205] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 54 structureChanged: false structureIsReused:: Completely Elapsed: 10.041064001619816ms
Info 255  [23:04:17.205] Different program with same set of files
Info 256  [23:04:17.490] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 257  [23:04:17.497] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 55 structureChanged: false structureIsReused:: Completely Elapsed: 6.804636001586914ms
Info 258  [23:04:17.497] Different program with same set of files
Info 259  [23:04:17.778] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 260  [23:04:17.789] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 56 structureChanged: false structureIsReused:: Completely Elapsed: 10.41439899802208ms
Info 261  [23:04:17.789] Different program with same set of files
Info 262  [23:04:18.070] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 263  [23:04:18.078] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 57 structureChanged: false structureIsReused:: Completely Elapsed: 7.231607001274824ms
Info 264  [23:04:18.078] Different program with same set of files
Info 265  [23:04:18.366] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 266  [23:04:18.374] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 58 structureChanged: false structureIsReused:: Completely Elapsed: 8.079597000032663ms
Info 267  [23:04:18.374] Different program with same set of files
Info 268  [23:04:18.791] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 269  [23:04:18.800] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 59 structureChanged: false structureIsReused:: Completely Elapsed: 9.29585000127554ms
Info 270  [23:04:18.800] Different program with same set of files
Info 271  [23:04:19.066] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 272  [23:04:19.074] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 60 structureChanged: false structureIsReused:: Completely Elapsed: 7.395279001444578ms
Info 273  [23:04:19.074] Different program with same set of files
Info 274  [23:04:19.366] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 275  [23:04:19.384] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 61 structureChanged: false structureIsReused:: Completely Elapsed: 17.963775001466274ms
Info 276  [23:04:19.384] Different program with same set of files
Info 277  [23:04:19.738] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 278  [23:04:19.743] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 62 structureChanged: false structureIsReused:: Completely Elapsed: 4.867831002920866ms
Info 279  [23:04:19.743] Different program with same set of files
Info 280  [23:04:20.029] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 281  [23:04:20.044] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 63 structureChanged: false structureIsReused:: Completely Elapsed: 14.642229001969099ms
Info 282  [23:04:20.044] Different program with same set of files
Info 283  [23:04:20.408] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 284  [23:04:20.420] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 64 structureChanged: false structureIsReused:: Completely Elapsed: 11.757201999425888ms
Info 285  [23:04:20.420] Different program with same set of files
Info 286  [23:04:20.616] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 287  [23:04:20.624] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 65 structureChanged: false structureIsReused:: Completely Elapsed: 7.974712997674942ms
Info 288  [23:04:20.624] Different program with same set of files
Info 289  [23:04:20.937] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 290  [23:04:20.941] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 66 structureChanged: false structureIsReused:: Completely Elapsed: 3.6239400021731853ms
Info 291  [23:04:20.941] Different program with same set of files
Info 292  [23:04:21.639] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 293  [23:04:21.644] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 67 structureChanged: false structureIsReused:: Completely Elapsed: 5.407578002661467ms
Info 294  [23:04:21.644] Different program with same set of files
Info 295  [23:04:21.866] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 296  [23:04:21.870] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 68 structureChanged: false structureIsReused:: Completely Elapsed: 3.9305149987339973ms
Info 297  [23:04:21.870] Different program with same set of files
